124666,10/02/2020,223376,4357,100163
125413,10/03/2020,228161,4451,102347
126160,10/04/2020,232424,4495,103762
126907,10/05/2020,236329,4530,104966
127654,10/06/2020,240811,4624,107210
128401,10/07/2020,245698,4707,109968
129148,10/08/2020,251243,4807,112365
129895,10/09/2020,257204,4899,114872
130642,10/10/2020,263105,5010,116861
131390,10/11/2020,268065,5098,117829
132138,10/12/2020,272671,5143,118740
132886,10/13/2020,277982,5254,120999
133634,10/14/2020,283762,5365,123263
134382,10/15/2020,289022,5443,124316
135130,10/16/2020,295227,5551,126721
135878,10/17/2020,301856,5669,129033
136626,10/18/2020,307301,5762,130338
137374,10/19/2020,312287,5834,131473
138122,10/20/2020,317967,5948,134680
138870,10/21/2020,324942,6093,137515
139618,10/22/2020,332262,6213,140322
140366,10/23/2020,340042,6336,143093
141114,10/24/2020,347317,6463,145418
141862,10/25/2020,353723,6566,147240
142610,10/26/2020,359348,6641,148300
143359,10/27/2020,366233,6770,151428
144108,10/28/2020,374023,6938,155028
144857,10/29/2020,381664,7058,158208
145606,10/30/2020,390272,7235,161719
146355,10/31/2020,399330,7399,165902
147104,11/01/2020,407573,7515,168495
147853,11/02/2020,414567,7584,170880
148602,11/03/2020,423683,7749,176220
149351,11/04/2020,433492,7952,184141
150100,11/05/2020,443630,8148,192602
150849,11/06/2020,453565,8358,203572
151598,11/07/2020,464598,8553,212549
152347,11/08/2020,474245,8695,215357
153097,11/09/2020,483153,8812,217716
153847,11/10/2020,493544,9018,223530
154598,11/11/2020,504423,9214,230767
155360,11/12/2020,515755,9422,237399
156122,11/13/2020,527808,9604,243901
156884,11/14/2020,540593,9806,249127
157646,11/15/2020,551533,9904,251864
158408,11/16/2020,561581,10002,254653
159170,11/17/2020,573758,10168,261836
159932,11/18/2020,586522,10431,270269
160694,11/19/2020,600152,10694,278190
161456,11/20/2020,614986,10929,286386
162218,11/21/2020,629850,11149,294851
162980,11/22/2020,642215,11292,299592
163742,11/23/2020,653442,11423,303782
164505,11/24/2020,665968,11619,312564
165268,11/25/2020,680132,11857,321460
166031,11/26/2020,695755,12091,331538
166794,11/27/2020,712249,12292,340794
167557,11/28/2020,728834,12485,350189
168320,11/29/2020,742105,12613,354556
169083,11/30/2020,752343,12731,360360
169846,12/01/2020,765117,12962,370677
170609,12/02/2020,778560,13140,384961
171372,12/03/2020,793372,13394,400751
172135,12/04/2020,808828,13641,414347
172898,12/05/2020,822985,13877,429455
173661,12/06/2020,834913,14054,435575
174424,12/07/2020,843898,14208,440899
175187,12/08/2020,855054,14413,454226
175950,12/09/2020,867991,14702,469200
176713,12/10/2020,881727,14981,483553
177476,12/11/2020,895620,15278,499182
178239,12/12/2020,908839,15528,513249
179002,12/13/2020,918444,15691,520912
179765,12/14/2020,925321,15792,526101
180528,12/15/2020,934161,16038,542672
181291,12/16/2020,945218,16314,555675
182054,12/17/2020,957692,16579,569200
182817,12/18/2020,970758,16848,582457
183580,12/19/2020,982937,17072,596218
184343,12/20/2020,991700,17201,602993
185106,12/21/2020,998678,17293,608120
185869,12/22/2020,1007627,17535,622519
186632,12/23/2020,1018199,17823,638265
187395,12/24/2020,1030125,18057,654592
188158,12/25/2020,1041583,18255,670437
188921,12/26/2020,1049717,18389,676234
189684,12/27/2020,1056265,18472,683273
190447,12/28/2020,1061074,18555,690626
191210,12/29/2020,1068476,18801,707235
191973,12/30/2020,1076880,19058,724143
192736,12/31/2020,1086997,19281,736611
193499,01/01/2021,1096855,19437,746680
194262,01/02/2021,1102256,19498,749371
195026,01/03/2021,1107137,19630,755810
195790,01/04/2021,1111631,19712,760660
196554,01/05/2021,1117256,19929,774834
197318,01/06/2021,1124482,20171,789627
